Time | Topic | Speaker/ Moderator | Panelists
12.45-13.20 | Plenary Lecture: Thombotic Microangipathy: Indian Story   Apollo Children’s lifetime Achievement Award | Dr Arvind Bagga   Dr. R N Srivastava | Expert/Chairperson-  Dr. R N. Srivastava  Dr Amitava Pahari
13:20-14:00 | LUNCH | LUNCH | LUNCH
14.00-14.30 | Selected Award Paper Presentation: 3 | Selected Award Paper Presentation: 3 | Selected Award Paper Presentation: 3
14:30-15:15 | SUBSPECIALITY SYMPOSIUM 10:  NEPHROLOGY | SUBSPECIALITY SYMPOSIUM 10:  NEPHROLOGY | SUBSPECIALITY SYMPOSIUM 10:  NEPHROLOGY
14.30-15.15 | PANEL DISCUSSION:  Urinalysis - The Liquid Kidney Biopsy | Dr Rajiv Sinha | Dr Sushmita Banerjee Dr Mehul Shah Dr Sudha Ekambaram Dr Amitava Pahari
15.15-17.20 | SUBSPECIALITY SYMPOSIUM 11:  CRITICAL CARE | SUBSPECIALITY SYMPOSIUM 11:  CRITICAL CARE | SUBSPECIALITY SYMPOSIUM 11:  CRITICAL CARE
15:05-15:35 (25+5) | pARDS – The Good, The Bad and The Ugly! | Dr Nameet Jerath | 
15.35-16:20 | PANEL DISCUSSION: TBA | Dr Agnisekhar Saha | Dr Kaushik Maulik Dr Avishek Poddar Dr Abhijit Bagde Dr Kaustabh Chaudhuri
16:20-16:45 | Artificial Intelligence in Pediatric Critical Care. | Dr. Traci Wolbrink (Virtual) | 
16:45-17:20 | PANEL DISCUSSION:  Case Vignettes on Ethics in PICU | Dr Avishek Poddar | Dr Nameet Jerath Dr Abhijit Bagde Dr Kaustabh Chaudhuri  Dr Kaushik Maulik
17.20 onwards | VALEDICTORY | VALEDICTORY | VALEDICTORY
